referencia,doi_articulo_citante,score_titulo
"Casey M. E., Savastinuk L. C. Library 2.0: Service for the Next-Generation Library // Library Journal. 2006. № 131 (1). P. 42–44.",10.33186/1027-3689-2024-5-85-101,0.56
"Pegelow E, Borys D, Gummin D, Laubach E (2016) Clinical toxicity following suvorexant ingestion. Clin Toxicol 54:759–760",10.1007/s11419-024-00706-z,0.33
"Fourati W, Bouhlel MS (2005) A novel approach to improve the performance of JPEG2000. In: ICGST international journal on graphics, vision and image processing, 5(5)",10.1007/s00521-024-10149-7,0.5
"Limoncu, S., & Bayülgen, C. (2005). Türkiye’de afet sonrası yaşanan barınma sorunları, Megaron YTÜ Mim. Fak. e-Dergisi, 1(1), 18-27",10.53472/jenas.1412321,0.44
"Cheong, S. W., Sung, H. C., Park, D. S., 2009, Population viability analysis of a gold-spotted pond frog (Rana chosenica) population: Implications for effective conservation and re-introduction, Korean Journal of Environmental Biology, 27(1), 73-81.",10.5322/jesi.2024.33.11.863,0.67
"Xiao, Y.-S.; Zhang, L.; Hu, W.-L.; Zhao, Y.-B.; Hu, H. In Vitro Activity of Synthesized Pyran Derivatives-Inhibitor against Prostate Cancer. Lat. Am. J. Pharm. 2017, 36, 609–612.",10.1515/ncrs-2024-0344,0.4
"Ren, J.Y. 2020. Population mobility, urbanization, and resident consumption—an empirical study on the development of high speed rail in the Yangtze river delta region. Journal of Commercial Economics 15: 154–157.",10.1007/s44176-024-00028-9,0.7
"Ponce de León, Zoila. “Sistema de Salud en el Perú y el COVID-19”. Políticas y debates públicos, núm. 2, 2021, pp. 1-8. Impreso.",10.19053/uptc.01218530.n49.2024.17168,0.5
"Melnyk, Y. (2012).(n.d.) Metodyka pidhotovky do naukovoyi dopovidi. [Emotions as the object of study in Linguistics]. Teoriya i Praktyka Upravlinnya Sotsialnymy Systemamy: Filosofiya, Psykholohiya, Pedahohika, Sotsiolohiya. 1, 29-33 (In Ukrainian)",10.17721/2663-0303.2024.1.01,0.5
"Beristain, J., Gonzalo, O. & Sandá, A. Machinability of Al-SiC metal matrix composites using WC, PCD and MCD inserts. Revista De Metalurgia 50, 1–6 (2014).",10.1038/s41598-024-77652-8,0.86
"Şahin, M. (2019). Korku, kaygı ve kaygı (anksiyete) bozuklukları [Fear, anxiety, and anxiety disorders]. Eurasian Journal of Researches in Social and Economics (EJRSE), 6 (10), 117-135.",10.69918/ejte.1558103,0.4
"Augot, D., Finiasz, M., Sendrier, N.: A fast provably secure cryptographic hash function. IACR Cryptol. ePrint Arch. 2003, 230 (2003)",10.1007/s12095-024-00712-3,0.44
"Fu, Y.-G., Zhou, C.-P., Hu, H.-P., Research on Differential Evolution Algorithm for Path Planning for Unmanned Aerial Vehicle in Ocean Environment, Acta Armamentarii, 3, 1-9, 2012.",10.17341/gazimmfd.1156817,0.75
"Al. Farabi, A. Al Mantegh endal Farabi, Dar al Mashregh, Beirut, gatered by Majed Fakhri, p. 143, 1987.",10.11648/j.ijp.20241202.13,0.0
"Sabzevari, M. H. Sharh e- Manzoome, Nashre Naab, vol. 1, Tehran, Iran, ed. 1, 1992.",10.11648/j.ijp.20241202.13,0.1
