referencia,estado,fuente,doi,titulo_encontrado,autor_encontrado,anio_referencia,anio_encontrado,retractada,score_titulo,detalle
"Newman, Sarah. (2017). The Limits of Palimpsest: Architectural Ruins, Reuse, and Remodeling Among the Anci-ent Maya. N. Aksamija, C. Maines, & P. Wagoner (Eds.). Palimpsests: Buildings, Sites, Time. (s. 91–110). Turnhout: Brepols Publishers.",NO VERIFICABLE,,,,,2017,,,0.21,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"K. Sayash, A. Narayanan, AI Snake Oil (Princeton University Press, 2024).",NO VERIFICABLE,,,,,2024,,,0.33,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Geertz, C. (1960). The religion of Java. The University of Chicago Press.",NO VERIFICABLE,,,,,1960,,,0.62,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Casey M. E., Savastinuk L. C. Library 2.0: Service for the Next-Generation Library // Library Journal. 2006. № 131 (1). P. 42–44.",NO VERIFICABLE,,,,,2006,,,0.56,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"De Alba, F. y Hernández-Gamboa, H. (2014). Intermediarios, usos políticos en una metrópolis en stress hídrico en México, en Revista Provincia, núm. 31, enero-junio, Universidad de los Andes Mérida, Venezuela, pp. 121-145. https://www.redalyc.org/pdf/555/55532603005.pdf",NO VERIFICABLE,,,,,2014,,,0.56,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Cooper-Richet, Diana. “English-Language Press in Continental Europe.” In The Edinburgh History of the British and Irish Press, Volume 2. Expansion and Evolution, 1800–1900, edited by David Finkelstein. 221–240. Edinburgh, Edinburgh University Press, 2020.",METADATOS DUDOSOS,Crossref,10.3366/edinburgh/9781474424882.003.0014,The English-Language press in Continental Europe,Cooper-Richet,1900,2020,NO,1.0,Año citado (1900) no coincide con el registrado (2020)
(DTV5) Dictionnaire TV5Monde-LangueFrancaise. https://bit.ly/4amhu20.,NO VERIFICABLE,,,,,,,,0.5,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Koos WT, Day JD, Matula C, Levy DI. Neurotopographic considerations in the microsurgical treatment of small acoustic neurinomas. J Neurosurg. 1998;88(3):506–512.",VERIFICADA,Crossref,10.3171/jns.1998.88.3.0506,Neurotopographic considerations in the microsurgical treatment of small acoustic neurinomas,Koos,1998,1998,NO,1.0,
"Duy T., Boc Đ. Đ., Thach N. V., et al. Report on results of kaolin prospecting and exploration in northern Quang Ninh. Geological Department of Vietnam, Hanoi. 1966. (In Vietnamese)",NO VERIFICABLE,,,,,1966,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
"Gong, X. (2020). Preparation and Properties of Bearing Bush Wear-Resistant Coating, Southeast University.",NO VERIFICABLE,,,,,2020,,,0.4,"No aparece en Crossref ni OpenAlex: posible referencia fabricada, o literatura gris sin indexar"
