id,veredicto,venue,nota,ref
5,EXISTE,Environment-Behaviour Proc. J.,"autocita, no indexada",
31,EXISTE,JAFEB (KoreaScience),revista coreana no indexada,
37,EXISTE,IJRASB,revista india no indexada,
44,EXISTE,Korean J Chem Eng (Springer),"FALSO NEGATIVO: cita mutilada, sí está en Crossref",
47,EXISTE,Acta Materiae Compositae Sinica,revista china no indexada,
49,EXISTE,Jurnal Mirai Management,revista indonesia no indexada,
52,EXISTE,Neuroquantology,revista depredadora deslistada,
1,EXISTE,Off. J. Eur. Union,normativa UE real (no es artículo),
3,EXISTE,arXiv:2303.04860,"preprint real (Jamneshan, Shalom, Tao)",
4,EXISTE,JCAP,artículo real de cosmología,
6,EXISTE,Revista UNILUS Ensino e Pesquisa,revista brasileña no indexada,
7,EXISTE,J Multidiscip Eng Sci Studies,revista no indexada,
8,EXISTE,Arthavidya Jurnal Ilmiah Ekonomi,revista indonesia no indexada,
9,EXISTE,Philosophy and Public Issues,existe (PhilPapers),
10,EXISTE,Cadernos da FUCAMP,revista brasileña no indexada,
11,EXISTE,Spreadsheets in Education,"título exacto hallado, no indexada",
12,EXISTE,Natural Resources Journal (JSTOR/UNM),"existe, no indexada en las 4 fuentes",
13,EXISTE,TeMA J Land Use Mobility Env,tiene DOI 10.6093 — falso negativo de matching,
14,EXISTE,Int J of Management (IAEME),revista no indexada,
2,EXISTE,Journal of Bio Innovation (jbino.com),"título exacto hallado, no indexada",
15,EXISTE,Italian J Freshwater Ichthyology,"existe (aiiad.it), no indexada",
17,EXISTE,Astroparticle Physics,"artículo real, falso negativo matching",
19,EXISTE,Jurnal Implementasi,revista indonesia no indexada,
16,EXISTE,CIBTech Journal of Biotechnology,revista no indexada,
18,EXISTE,Physics of the Dark Universe,"artículo real, falso negativo matching",
20,EXISTE,Trop J Phytochem Pharm Sci,revista nigeriana no indexada,
21,EXISTE,Steel and Composite Structures,"tiene DOI techno-press, falso negativo",
22,EXISTE,JIMPS (jim.usk.ac.id),revista estudiantil indonesia no indexada,
23,EXISTE,Gynecol Obstet Fertil Senol,artículo francés real,
24,EXISTE,Revue Forestière Française,revista francesa no indexada,
34,EXISTE,Advanced LiDAR (Mersin),revista turca no indexada,
25,AMBIGUO,S. Afr. J. Bot. (Elsevier),cita sin título (solo autores+vol+pág); reintentar,
26,AMBIGUO,Steel Compos Struct,título no confirmado en 1ª búsqueda; reintentar,
